log_yield,lat,log_subsidy,atr,mpdq,mph2oq,mtwq,sdmp,sdmt,ndvi,clay,sand,silt,nmtaf,htwm
2.696356389,32.875,6.765791674,36.70000076,0.899999976,2.466670036,28.23329926,0.756136,8.535220146,0.261000007,35,33,32,11,35.5
2.880813592,28.875,5.281131129,30.39999962,1.466670036,2.933330059,28.20000076,0.825125992,6.539589882,0.442000002,31,49,21,12,34.90000153
2.802089258,33.125,5.631961975,38.20000076,0.56666702,2.233330011,27.29999924,0.800521016,8.631489754,0.414999992,10,58,33,9,35.09999847
2.658964843,33.625,5.69068328,38.79999924,0.533333004,2.166670084,27.06669998,0.806178987,8.815309525,0.368000001,8,68,23,9,35
2.903089987,29.375,4.940182667,32.09999847,0.633333027,1.966670036,29.56669998,0.705981016,7.220940113,0.331999987,25,35,40,12,36.29999924
2.802089258,27.375,6.411165142,27.29999924,1.100000024,3.033329964,29,1.053850055,5.86232996,0.488999993,8,79,14,12,35.09999847
2.854306042,33.625,6.338997829,39.5,0.766667008,2.366669893,28.26670074,0.820707023,9.132060051,0.307999998,18,49,32,9,36.29999924
2.8162413,33.625,5.547043294,36.59999847,2.299999952,3.933330059,27.16670036,0.853290975,8.567520142,0.578000009,56,21,23,10,34.59999847
2.904174368,34.125,7.169878927,38,0.400000006,2.299999952,25.06669998,0.828288019,8.420980453,0.280000001,4,89,8,9,33.20000076
2.911690159,28.375,4.595804748,31.5,0.800000012,2.366669893,30.13330078,0.793677986,6.894060135,0.351999998,45,34,21,12,37
2.7084209,31.625,5.584012172,35.40000153,1.933330059,3.200000048,28.43330002,0.753325999,8.034029961,0.582000017,19,48,33,12,36.20000076
2.882524538,28.375,5.642886738,30.5,1.133329988,2.733330011,28.9666996,0.881587982,6.484729767,0.472000003,24,51,24,12,35.79999924
2.892094603,33.625,7.221232918,37.59999847,0.433333009,2.133330107,25.66670036,0.790857017,8.456959724,0.27700001,19,46,35,9,33.29999924
2.77524626,33.125,7.176751926,37.20000076,0.433333009,2.066669941,26.06669998,0.760930002,8.297320366,0.214000002,11,59,30,9,33.79999924
2.660865478,31.125,5.473641683,35.90000153,1.100000024,2.466670036,27.33329964,0.694131017,7.800519943,0.375,56,23,21,11,35
2.834420704,31.625,6.053515593,35.40000153,1.600000024,3.066669941,28.86669922,0.743864,8.213350296,0.532000005,46,19,35,12,36.20000076
2.582063363,32.875,6.919932236,37.40000153,0.466666996,1.933330059,27.06669998,0.703239024,8.285949707,0.225999996,10,58,32,9,34.90000153
2.846337112,28.875,6.527750378,28.20000076,1.633329988,3.400000095,28.39999962,1.02986002,6.303009987,0.549000025,11,58,31,12,34.29999924
3.100715087,29.375,5.834905596,31.29999924,0.800000012,2.166670084,29.63330078,0.717741013,7.110489845,0.456,44,26,31,12,36.09999847
2.5132176,31.875,6.24141971,36.90000153,0.400000006,1.733330011,27.43330002,0.608774006,8.037090302,0.164000005,10,58,32,10,35.59999847
2.84509804,30.875,6.073721649,34,1.666669965,2.966670036,27.93330002,0.701080978,7.644030094,0.474000007,40,28,32,12,35.29999924
2.6599162,32.375,6.537073987,37.09999847,0.666666985,2.133330107,27.16670036,0.721687973,8.186180115,0.252000004,19,50,31,10,35.09999847
2.95616843,35.875,4.603263489,40.29999924,0.400000006,2.366669893,25.29999924,0.851158023,9.092399597,0.266000003,34,19,47,8,34
2.725911632,34.125,6.164505427,39.40000153,0.533333004,2.266669989,27.0333004,0.841130018,8.986399651,0.347000003,24,41,35,9,35.09999847
2.710963119,32.125,6.252258441,35,2.033329964,3.433330059,28.06669998,0.786774993,8.088879585,0.504999995,55,22,23,12,35.40000153
2.631443769,32.375,6.484546534,36.59999847,0.800000012,2.333329916,26.76670074,0.74969703,8.090749741,0.381000012,35,32,33,10,34.5
2.974511693,34.625,6.876013524,38.59999847,0.400000006,2.366669893,24.70000076,0.840273976,8.467909813,0.218999997,30,36,34,9,33.20000076
3.032618761,30.875,5.856952926,36.40000153,0.433333009,1.766669989,27.56669998,0.612001002,7.799240112,0.129999995,34,13,53,11,35.90000153
2.836324116,35.875,4.016991578,40.29999924,0.400000006,2.366669893,25.29999924,0.851158023,9.092399597,0.266000003,34,19,47,8,34
2.919601024,35.125,5.281880665,39.40000153,0.400000006,2.5,25.13330078,0.90298301,8.885479927,0.26699999,35,12,53,9,33.70000076
2.813580989,31.375,6.31940028,36.20000076,0.466666996,1.866670012,27.26670074,0.653661013,7.872719765,0.138999999,22,37,40,11,35.29999924
2.736396502,33.625,5.73777926,36,2.566669941,4,26.93330002,0.778644979,8.439660072,0.665000021,14,47,39,11,34.20000076
2.824125834,31.375,6.146914637,37.20000076,0.333332986,1.799999952,28.33329964,0.659832001,8.01140976,0.097999997,27,27,46,11,36.90000153
