log_yield,long,lat,log_subsidy,atr,mpdq,mph2oq,mtwq,sdmp,sdmt,ndvi,clay,sand,silt,nmtaf,htwm
5.328361488,-101.875,35.875,6.741473929,40.29999924,0.400000006,2.366669893,25.29999924,0.851158023,9.092399597,0.266000003,34,19,47,8,34
5.347107531,-101.875,35.125,5.015045239,39.40000153,0.400000006,2.5,25.13330078,0.90298301,8.885479927,0.26699999,35,12,53,9,33.70000076
5.324472324,-101.875,36.375,6.83097218,41.20000076,0.333332986,2.266669989,25.06669998,0.824989021,9.263660431,0.286000013,22,44,34,7,34
5.147494477,-101.625,39.875,6.108043828,42.40000153,0.366667002,2.366669893,23.06669998,0.790664971,9.820650101,0.317999989,13,18,69,7,32.70000076
4.65396035,-101.625,39.375,6.640625913,41.70000076,0.333332986,2.5,22.76670074,0.869517028,9.641719818,0.331,13,17,70,7,32.40000153
5.123963979,-101.625,37.625,6.640765573,44.5,0.266667008,2.166670084,24.39999962,0.796725988,9.983119965,0.314999998,14,17,70,7,34.20000076
4.86753445,-101.625,41.625,5.25513013,43.70000076,0.333332986,2.599999905,21.16670036,0.933670998,10.11800003,0.432000011,4,86,10,6,31
5.219815138,-101.625,40.875,6.961781812,43.20000076,0.333332986,2.566669941,22.86669922,0.910003006,10.02359962,0.412,4,88,8,7,32.59999847
5.09436351,-101.625,40.125,6.682046017,42.90000153,0.333332986,2.5,23.20000076,0.87017101,9.942669868,0.358999997,9,62,29,7,32.90000153
5.072043922,-101.625,41.125,6.598743902,43.70000076,0.300000012,2.533329964,22.23329926,0.899958014,10.10200024,0.404000014,14,37,50,7,32.09999847
5.015291106,-101.625,40.875,6.979660621,43.20000076,0.333332986,2.566669941,22.86669922,0.910003006,10.02359962,0.412,4,88,8,7,32.59999847
4.635699391,-101.625,43.125,5.473076569,44.40000153,0.300000012,2.400000095,21.33329964,0.852225006,10.53009987,0.460999995,14,24,62,6,31.20000076
4.018183201,-101.625,43.875,4.20561031,44.90000153,0.300000012,2.333329916,22.06669998,0.832848012,10.77530003,0.386999995,42,15,44,7,31.89999962
3.148453361,-101.625,44.875,4.498172661,45.40000153,0.300000012,2.266669989,21.63330078,0.812916994,11.19489956,0.388000011,21,30,49,7,31.20000076
5.02322241,-101.625,34.875,6.114494556,38.90000153,0.466666996,2.400000095,25.23329926,0.851158023,8.706620216,0.32100001,26,35,39,9,33.59999847
5.393627546,-101.375,37.625,6.541594968,43.59999847,0.266667008,2.266669989,24.63330078,0.830617011,9.956040382,0.317000002,14,17,70,7,34.09999847
5.241747015,-101.375,38.125,6.409967426,43.70000076,0.333332986,2.366669893,24,0.82842499,9.987939835,0.291000009,13,18,69,7,33.5
5.293304825,-101.375,37.125,6.821875748,43,0.366667002,2.266669989,25.10000038,0.785233021,9.812159538,0.310000002,3,92,5,7,34.40000153
5.036952602,-101.375,38.375,6.347139079,43.70000076,0.333332986,2.366669893,24,0.82842499,9.987939835,0.270000011,14,17,70,7,33.5
4.519612298,-101.375,46.875,5.799477021,47.09999847,0.366667002,2.066669941,19.43330002,0.727958977,12.02350044,0.588,22,36,43,5,28.60000038
4.15261347,-101.375,48.875,4.881333292,48.5,0.633333027,2.099999905,18.20000076,0.665149987,12.8774004,0.583000004,18,41,41,5,27
5.298317367,-101.375,36.625,6.733607123,42.20000076,0.366667002,2.166670084,25.5,0.766336977,9.622969627,0.275000006,22,44,34,7,34.59999847
3.779633817,-101.375,44.125,5.004570699,45.5,0.333332986,2.333329916,22.0333004,0.822229028,11.17520046,0.40200001,39,20,41,7,31.70000076
5.214392132,-101.375,34.375,5.164962225,38.70000076,0.533333004,2.233330011,25.86669922,0.812216997,8.719499588,0.257999986,36,31,33,9,33.90000153
5.228431239,-101.375,35.375,5.886016126,39.70000076,0.5,2.433330059,25.20000076,0.857189,8.957099915,0.291000009,35,12,53,9,33.79999924
5.026508643,-101.375,34.125,5.797257844,38.70000076,0.533333004,2.233330011,25.86669922,0.812216997,8.719499588,0.268000007,36,31,33,9,33.90000153
5.339939041,-101.375,36.375,6.374059526,41.20000076,0.366667002,2.333329916,25.5,0.82842499,9.371569633,0.303000003,34,19,47,7,34.40000153
5.33513134,-101.375,35.625,5.954789858,40.40000153,0.433333009,2.400000095,25.5333004,0.853290975,9.190159798,0.337000012,17,48,35,9,34.20000076
4.644390899,-101.125,39.125,5.938203396,42.5,0.400000006,2.633330107,23.13330078,0.891202986,9.86550045,0.293000013,13,17,70,7,32.59999847
4.204692619,-101.125,39.875,5.930928156,42.79999924,0.366667002,2.666670084,23.06669998,0.916970015,9.951740265,0.340000004,13,17,70,7,32.59999847
4.804021045,-101.125,39.375,6.75258211,42.5,0.400000006,2.633330107,23.13330078,0.891202986,9.86550045,0.356000006,13,17,70,7,32.59999847
4.194189897,-101.125,47.625,5.328032845,47.90000153,0.466666996,2.066669941,18.79999924,0.695603013,12.46819973,0.551999986,18,40,42,5,27.70000076
5.197391448,-101.125,42.625,6.020305749,44.59999847,0.333332986,2.5,21.29999924,0.883005023,10.58310032,0.437999994,3,92,5,6,31.10000038
